Nutrient,Apple,Banana,Blueberries,Fig,Lemon,Orange,Peach,Persimmon_dried,Tomatoes,Watermelon
Energy (kcal),52,89,354,74,29,47,42,366,18,30
Water (g),85.56,74.91,168.42,79.11,88.98,86.75,88.3,0.86,94.52,91.45
Sugar (g),10.39,12.23,19.92,16.26,2.5,9.35,8.39,80.06,2.63,6.2
Vitamin C (mg),4.6,8.7,19.4,2,53,53.2,4.1,4,13.7,8.1
Calcium (mg),6,5,12,35,26,40,4,22,10,7
Carbohydrate (g),13.81,22.84,28.98,19.18,9.32,11.75,10.1,96.07,3.89,7.55
Vitamin B-6 (mg),0.041,0.367,0.104,0.113,0.08,0.06,0.025,0.239,0.08,0.045
Vitamin A (ug),3,3,6,7,1,11,24,108,42,28
Protein (g),0.26,1.09,1.48,0.75,1.1,0.94,0.91,1.54,0.88,0.61
Sodium (mg),1,1,2,1,2,0,13,3,5,1
Vitamin E (mg),0.18,0.1,1.14,0.11,0.15,0.18,0.73,1.94,0.54,0.05
Copper (mg),0.027,0.078,0.114,0.07,0.037,0.045,0.078,0.303,0.059,0.042
Iron (mg),0.12,0.26,0.56,0.37,0.6,0.1,0.34,0.42,0.27,0.24
Magnesium (mg),5,27,12,17,8,10,8,24,11,10
Phosphorus (mg),11,22,24,14,16,14,22,45,24,11
Potassium (mg),107,358,154,232,138,181,122,429,237,112
Zinc (mg),0.04,0.15,0.32,0.15,0.06,0.07,0.23,0.3,0.17,0.1
Total Fat (g),0.17,0.33,0.66,0.3,0.3,0.12,0.27,0.66,0.2,0.15
Saturated_fat (g),0.028,0.112,0.056,0.06,0.039,0.015,0.019,0.053,0.028,0.016
Fiber total dietary (g),2.4,2.6,4.8,2.9,2.8,2.4,1.5,9.6,1.2,0.4
